cell_type
Radial glia
Neuron
Immature neuron
Neuroblast
Immature neuron
Radial glia
Immature neuron
Immature neuron
Immature neuron
Immature neuron
Radial glia
Neuron
Neuroblast
Radial glia
Immature neuron
Immature neuron
Immature neuron
Immature neuron
Neuron
Immature neuron
Immature neuron
Neuron
Radial glia
Radial glia
Neuroblast
Immature neuron
Immature neuron
Neuron
Radial glia
Radial glia
Neuroblast
Neuroblast
Radial glia
Neuron
Radial glia
Radial glia
Radial glia
Immature neuron
Immature neuron
Immature neuron
Immature neuron
Neuroblast
Neuron
Neuron
Immature neuron
Radial glia
Immature neuron
Immature neuron
Neuroblast
Radial glia
Neuron
Neuroblast
Immature neuron
Immature neuron
Immature neuron
Radial glia
Immature neuron
Neuron
Neuron
Radial glia
Neuron
Immature neuron
Immature neuron
Immature neuron
Immature neuron
Immature neuron
Immature neuron
Immature neuron
Radial glia
Neuroblast
Radial glia
Immature neuron
Radial glia
Immature neuron
Radial glia
Immature neuron
Neuroblast
Neuron
Radial glia
Immature neuron
Neuroblast
Neuroblast
Neuron
Immature neuron
Neuron
Immature neuron
Radial glia
Immature neuron
Neuroblast
Radial glia
Immature neuron
Neuron
Immature neuron
Neuron
Immature neuron
Radial glia
Radial glia
Immature neuron
Radial glia
Immature neuron
Immature neuron
Immature neuron
Immature neuron
Immature neuron
Neuroblast
Immature neuron
Radial glia
Radial glia
Immature neuron
Immature neuron
Immature neuron
Immature neuron
Radial glia
Radial glia
Neuroblast
Radial glia
Radial glia
Immature neuron
Immature neuron
Neuron
Radial glia
Neuroblast
Radial glia
Neuroblast
Immature neuron
Radial glia
Radial glia
Neuron
Immature neuron
Immature neuron
Immature neuron
Radial glia
Radial glia
Neuroblast
Radial glia
Neuroblast
Neuroblast
Radial glia
Neuron
Radial glia
Radial glia
Immature neuron
Neuron
Neuroblast
Neuroblast
Immature neuron
Immature neuron
Immature neuron
Neuroblast
Immature neuron
Immature neuron
Radial glia
Radial glia
Neuron
Neuroblast
Radial glia
Radial glia
Immature neuron
Neuron
Radial glia
Immature neuron
Immature neuron
Immature neuron
Neuroblast
Neuroblast
Immature neuron
Radial glia
Immature neuron
Immature neuron
Radial glia
Neuron
Neuroblast
Immature neuron
Radial glia
Neuron
Neuroblast
Radial glia
Immature neuron
Radial glia
Neuron
Neuroblast
Immature neuron
Neuroblast
Radial glia
Radial glia
Radial glia
Immature neuron
Immature neuron
Radial glia
Neuron
Immature neuron
Neuron
Immature neuron
Neuroblast
Radial glia
Radial glia
Neuroblast
Immature neuron
Radial glia
Radial glia
Immature neuron
Neuroblast
Radial glia
Immature neuron
Immature neuron
Neuroblast
Neuron
Radial glia
Neuroblast
Immature neuron
Immature neuron
Neuroblast
Radial glia
Immature neuron
Radial glia
Radial glia
Radial glia
Radial glia
Neuroblast
Neuron
Radial glia
Radial glia
Neuron
Radial glia
Radial glia
Radial glia
Immature neuron
Immature neuron
Immature neuron
Radial glia
Neuron
Neuroblast
Neuroblast
Neuroblast
Immature neuron
Immature neuron
Neuroblast
Neuroblast
Radial glia
Radial glia
Neuron
Immature neuron
Neuroblast
Radial glia
Radial glia
Immature neuron
Immature neuron
Immature neuron
Radial glia
Neuron
Neuroblast
Immature neuron
Neuron
Immature neuron
Radial glia
Neuron
Neuroblast
Radial glia
Neuron
Radial glia
Radial glia
Radial glia
Immature neuron
Neuron
Radial glia
Radial glia
Radial glia
Radial glia
Immature neuron
Immature neuron
Immature neuron
Radial glia
Neuron
Immature neuron
Neuroblast
Immature neuron
Radial glia
Neuron
Neuroblast
Radial glia
Neuron
Neuroblast
Immature neuron
Neuroblast
Radial glia
Neuron
Radial glia
Radial glia
Immature neuron
Neuroblast
Immature neuron
Neuroblast
Neuroblast
Immature neuron
Neuroblast
Immature neuron
Immature neuron
Neuroblast
Neuron
Immature neuron
Radial glia
Radial glia
Neuroblast
Immature neuron
Neuron
Radial glia
Neuroblast
Neuroblast
Neuron
Neuroblast
Immature neuron
Neuroblast
Radial glia
Radial glia
Radial glia
Immature neuron
Neuron
Immature neuron
Immature neuron
Radial glia
Immature neuron
Immature neuron
Immature neuron
Immature neuron
Immature neuron
Neuron
Immature neuron
Neuroblast
Immature neuron
Neuroblast
Immature neuron
Neuron
Immature neuron
Radial glia
Neuroblast
Neuroblast
Immature neuron
Radial glia
Neuron
Radial glia
Radial glia
Neuroblast
Radial glia
Neuroblast
Immature neuron
Neuroblast
Neuroblast
Radial glia
Immature neuron
Neuroblast
Immature neuron
Neuron
Immature neuron
Neuroblast
Neuroblast
Immature neuron
Neuroblast
Immature neuron
Neuroblast
Immature neuron
Radial glia
Radial glia
Radial glia
Immature neuron
Radial glia
Immature neuron
Neuroblast
Neuroblast
Radial glia
Neuron
Neuron
Immature neuron
Immature neuron
Immature neuron
Radial glia
Immature neuron
Immature neuron
Neuroblast
Neuroblast
Neuroblast
Immature neuron
Radial glia
Radial glia
Neuroblast
Immature neuron
Immature neuron
Neuron
Radial glia
Neuron
Neuroblast
Radial glia
Neuron
Immature neuron
Radial glia
Neuron
Immature neuron
Immature neuron
Immature neuron
Radial glia
Neuroblast
Neuroblast
Neuron
Immature neuron
Immature neuron
Radial glia
Immature neuron
Radial glia
Radial glia
Immature neuron
Neuron
Neuroblast
Immature neuron
Immature neuron
Immature neuron
Radial glia
Immature neuron
Immature neuron
Radial glia
Immature neuron
Neuroblast
Immature neuron
Neuroblast
Immature neuron
Radial glia
Radial glia
Neuroblast
Neuron
Radial glia
Neuron
Immature neuron
Immature neuron
Radial glia
Radial glia
Immature neuron
Radial glia
Radial glia
Radial glia
Neuroblast
Immature neuron
Neuron
Radial glia
Neuroblast
Radial glia
Immature neuron
Radial glia
Neuron
Immature neuron
Immature neuron
Immature neuron
Radial glia
Neuroblast
Radial glia
Radial glia
Radial glia
Immature neuron
Immature neuron
Immature neuron
Neuron
Neuron
Immature neuron
Radial glia
Neuron
Neuroblast
Immature neuron
Radial glia
Radial glia
Neuron
Neuroblast
Radial glia
Radial glia
Radial glia
Immature neuron
Neuron
Neuron
Immature neuron
Immature neuron
Neuroblast
Immature neuron
Immature neuron
Radial glia
Immature neuron
Neuron
Radial glia
Radial glia
Radial glia
Radial glia
Immature neuron
Immature neuron
Neuron
Neuron
Radial glia
Immature neuron
Immature neuron
Immature neuron
Neuron
Neuroblast
Immature neuron
Neuron
Immature neuron
Immature neuron
Radial glia
Immature neuron
Neuron
Neuron
Radial glia
Radial glia
Neuroblast
Radial glia
Radial glia
Neuron
Radial glia
Neuron
Immature neuron
Neuroblast
Immature neuron
Radial glia
Radial glia
Immature neuron
Neuroblast
Neuroblast
Radial glia
Radial glia
Immature neuron
Immature neuron
Radial glia
Neuron
